#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
1	28.05	28.49	28.39	27.67	29.11	29.66	29.50	27.82
2	28.04	28.52	28.45	27.67	29.11	29.77	29.51	27.81
3	28.03	28.71	28.70	27.66	29.13	30.20	29.54	27.80
4	28.03	29.05	29.12	27.66	29.22	30.82	29.59	27.78
5	28.05	29.47	29.62	27.68	29.37	31.51	29.73	27.78
6	28.08	29.95	30.18	27.73	29.57	32.21	29.91	27.77
7	28.15	30.44	30.74	27.80	29.83	32.87	30.15	27.76
8	28.24	30.94	31.30	27.90	30.13	33.51	30.43	27.75
9	28.35	31.43	31.86	28.02	30.45	34.10	30.75	27.74
10	28.49	31.91	32.39	28.17	30.79	34.67	31.08	27.75
11	28.64	32.37	32.90	28.33	31.13	35.21	31.45	27.75
12	28.80	32.81	33.40	28.49	31.49	35.72	31.81	27.74
13	28.98	33.24	33.87	28.69	31.85	36.21	32.20	27.74
14	29.17	33.64	34.32	28.88	32.22	36.68	32.57	27.75
15	29.37	34.04	34.75	29.08	32.58	37.12	32.95	27.75
16	29.56	34.41	35.16	29.29	32.94	37.55	33.33	27.75
17	29.76	34.77	35.55	29.50	33.31	37.95	33.70	27.76
18	29.98	35.12	35.92	29.71	33.67	38.35	34.07	27.77
19	30.19	35.45	36.28	29.93	34.03	38.73	34.42	27.77
20	30.41	35.77	36.62	30.15	34.39	39.09	34.78	27.79
21	30.62	36.07	36.95	30.37	34.74	39.45	35.13	27.81
22	30.83	36.34	37.20	30.58	35.08	39.71	35.44	27.82
23	31.05	36.44	37.25	30.79	35.41	39.67	35.75	27.84
24	31.25	36.39	37.13	31.01	35.68	39.42	36.03	27.86
25	31.44	36.22	36.90	31.19	35.88	39.10	36.23	27.88
26	31.61	36.00	36.61	31.36	36.02	38.76	36.37	27.91
27	31.75	35.75	36.31	31.50	36.10	38.43	36.45	27.94
28	31.86	35.50	35.99	31.61	36.15	38.13	36.48	27.98
29	31.95	35.25	35.69	31.69	36.17	37.86	36.47	28.01
30	32.02	35.01	35.40	31.75	36.16	37.60	36.44	28.04
31	32.07	34.78	35.12	31.79	36.15	37.36	36.37	28.07
32	32.10	34.57	34.86	31.82	36.11	37.14	36.29	28.12
33	32.13	34.36	34.62	31.83	36.06	36.95	36.19	28.15
34	32.14	34.18	34.39	31.83	36.01	36.76	36.09	28.19
35	32.14	34.00	34.18	31.83	35.95	36.60	35.97	28.23
36	32.14	33.83	33.99	31.82	35.89	36.43	35.85	28.27
37	32.13	33.68	33.80	31.79	35.81	36.28	35.73	28.32
38	32.12	33.54	33.63	31.77	35.74	36.14	35.61	28.36
39	32.09	33.41	33.47	31.74	35.66	36.01	35.49	28.41
40	32.07	33.30	33.33	31.72	35.58	35.89	35.37	28.45
41	32.05	33.18	33.19	31.69	35.50	35.78	35.25	28.51
42	32.02	33.08	33.08	31.66	35.42	35.70	35.11	28.55
43	31.99	33.13	33.15	31.62	35.33	35.92	35.00	28.59
44	31.97	33.34	33.42	31.59	35.29	36.39	34.92	28.62
